id,name,centralized,trade_volume_24h_btc_normalized
econia,Econia,0,0.0
ecxx,Ecxx,1,0.8605588873413422
eddyfinance,EddyFinance,0,1.2231546893738996
ekubo,Ekubo (Starknet),0,31.758364046123965
elk_finance_avax,Elk Finance (Avalanche),0,0.0387191741853527
elk_finance_bsc,Elk Finance (BSC),0,0.0571924820657852
elk_finance_ethereum,Elk Finance (Ethereum),0,0.0002850473507903
elk_finance_polygon,Elk Finance (Polygon),0,0.0556117701784846
elk_finance_telos,Elk Finance (Telos),0,0.0033411909998005
ellipsis_finance,Ellipsis Finance,0,0.0
emirex,Emirex,1,21.43554447991364
empiredex,EmpireDEX (Cronos),0,0.0
empiredex_bsc,EmpireDEX (BSC),0,0.0
empiredex_empire,EmpireDEX (Empire),0,0.0
energiswap,Energiswap,0,0.1313512736707054
enosys-flare,Enosys (Flare),0,1.3395702378507548
equalizer,Equalizer,0,7.737334647438026
equalizer-base,Equalizer (Base),0,0.0942575715797552
equation,Equation,0,0.0
equilibre,Équilibre,0,0.0238806733885768
etcmc,ETCMC,0,0.0014351763574084
evmoswap,EvmoSwap,0,0.0
excalibur,Excalibur,0,0.0094117964411633
exmo,EXMO,1,865.4208417879969
ezkalibur,eZKalibur,0,0.095122395017153
fairdesk,Fairdesk,1,278.1895607368457
fairdesk_derivatives,Fairdesk Derivatives,1,0.0
fairyswap,Fairyswap,0,0.0
fameex,FameEX,1,5023.4102344683215
fastex,Fastex,1,1511.207947742036
fatbtc,FatBTC,1,25.65793260758493
fathom-dex,Fathom DEX,0,0.0
fenix-finance,Fenix Finance,0,0.0
ferro_protocol,Ferro Protocol,0,1.6519355896219097
financex,FinanceX,1,6.093094396450171
firefly,Firefly,0,1.2453268153430008
flatqube,FlatQube,0,1.012422220401579
flowx-finance,FlowX Finance,0,2.9585253756479375
fluxbeam,FluxBeam,0,2.8853248982611426
fmcpay,FMCPAY,1,220.53930701081063
forge,Forge,0,0.0
forteswap,Forteswap,0,0.046163702012831
four_swap,4swap,0,0.0
foxbit,Foxbit,1,31.021413541200115
fraxswap_ethereum,Fraxswap (Ethereum),0,12.231930183119443
fraxswap-fraxtal,Fraxswap (Fraxtal),0,0.3963747226301967
freiexchange,Freiexchange,1,0.0799975042650898
friendly_market,Friendly Market,0,0.0
frogswap-degen-chain,FrogSwap (Degen Chain),0,0.0
fubt,FUBT,1,0.0
fusionx-v2,FusionX V2,0,0.0011452959861843
fusionx-v3,FusionX V3,0,9.305847575857845
fuzz_finance,FuzzSwap,0,3.7122605827e-06
fx_swap,MarginX,0,0.9334963875417392
gasx,GasX,0,0.0
gate,Gate.io,1,27524.096443464867
gate_futures,Gate.io (Futures),1,0.0
gdax,Coinbase Exchange,1,35118.87957289157
gemini,Gemini,1,1764.9098544646367
gemini_derivatives,Gemini Derivatives,1,0.0
gemswap,GemSwap,0,0.0011688878821706
giottus,Giottus,1,0.9067511246489536
glide_finance,Glide Finance,0,0.6091200630263122
globe_exchange,Globe,1,1.456200627010938
globe_exchange_derivatives,Globe (Derivatives),1,0.0
globiance,Globiance,0,0.0109121629990828
gmo_japan,GMO Japan,1,208.79415147977198
gmo_japan_futures,GMO Japan (Futures),1,0.0
gmx_arbitrum,GMX Derivatives (Arbitrum),0,0.0
gmx_avalanche,GMX Derivatives (Avalanche),0,0.0
goosefx,GooseFX,0,0.0
gopax,GoPax,1,226.04548047756035
graviex,Graviex,1,0.2825371883169168
gravity_finance,Gravity Finance,0,0.0088457127300121
greenhouse_dex,Greenhouse,0,0.0006895831401669
gull-network,Gull Network,0,0.0
hakuswap,HakuSwap,0,0.0
halo_trade,Halo Trade,0,0.007066652474844
hashkey_exchange,HashKey Exchange,1,970.0255840187739
hashkey-global,HashKey Global,1,1322.4782127699298
hashkey-global-futures,HashKey Global (Futures),1,0.0
